fromID,fromGroupID,fromName,toID,toGroupID,toName,time,routeID,routeName
1130101,1130101,東京,1130102,1130102,新橋,2,11301,JR東海道本線(東京～熱海)
1130102,1130102,新橋,1130103,1130103,品川,4,11301,JR東海道本線(東京～熱海)
1130201,1130201,大崎,1130202,1130202,五反田,2,11302,JR山手線
1130202,1130202,五反田,1130203,1130203,目黒,2,11302,JR山手線
1130203,1130203,目黒,1130204,1130204,恵比寿,3,11302,JR山手線
1130204,1130204,恵比寿,1130205,1130205,渋谷,2,11302,JR山手線
1130205,1130205,渋谷,1130206,1130206,原宿,3,11302,JR山手線
1130206,1130206,原宿,1130207,1130207,代々木,3,11302,JR山手線
1130207,1130207,代々木,1130208,1130208,新宿,2,11302,JR山手線
1130208,1130208,新宿,1130209,1130209,新大久保,3,11302,JR山手線
1130209,1130209,新大久保,1130210,1130210,高田馬場,2,11302,JR山手線
1130210,1130210,高田馬場,1130211,1130211,目白,1,11302,JR山手線
1130211,1130211,目白,1130212,1130212,池袋,3,11302,JR山手線
1130212,1130212,池袋,1130213,1130213,大塚,3,11302,JR山手線
1130213,1130213,大塚,1130214,1130214,巣鴨,2,11302,JR山手線
1130214,1130214,巣鴨,1130215,1130215,駒込,2,11302,JR山手線
1130215,1130215,駒込,1130216,1130216,田端,2,11302,JR山手線
1130216,1130216,田端,1130217,1130217,西日暮里,1,11302,JR山手線
1130217,1130217,西日暮里,1130218,1130218,日暮里,2,11302,JR山手線
1130218,1130218,日暮里,1130219,1130219,鶯谷,2,11302,JR山手線
1130219,1130219,鶯谷,1130220,1130220,上野,2,11302,JR山手線
1130220,1130220,上野,1130221,1130221,御徒町,1,11302,JR山手線
1130221,1130221,御徒町,1130222,1130222,秋葉原,2,11302,JR山手線
1130222,1130222,秋葉原,1130223,1130223,神田,2,11302,JR山手線
1130223,1130223,神田,1130224,1130101,東京,2,11302,JR山手線
1130224,1130101,東京,1130225,1130225,有楽町,2,11302,JR山手線
1130225,1130225,有楽町,1130226,1130102,新橋,2,11302,JR山手線
1130226,1130102,新橋,1130227,1130227,浜松町,3,11302,JR山手線
1130227,1130227,浜松町,1130228,1130228,田町,3,11302,JR山手線
1130228,1130228,田町,1130230,1130230,高輪ゲートウェイ,2,11302,JR山手線
1130229,1130103,品川,1130201,1130201,大崎,2,11302,JR山手線
1130230,1130230,高輪ゲートウェイ,1130229,1130103,品川,2,11302,JR山手線
1130317,1130317,矢野口,1130318,1130318,稲城長沼,3,11303,JR南武線
1130318,1130318,稲城長沼,1130319,1130319,南多摩,2,11303,JR南武線
1130319,1130319,南多摩,1130320,1130320,府中本町,3,11303,JR南武線
1130320,1130320,府中本町,1130321,1130321,分倍河原,2,11303,JR南武線
1130321,1130321,分倍河原,1130329,1130329,西府,2,11303,JR南武線
1130322,1130322,谷保,1130323,1130323,矢川,2,11303,JR南武線
1130323,1130323,矢川,1130324,1130324,西国立,2,11303,JR南武線
1130324,1130324,西国立,1130325,1130325,立川,2,11303,JR南武線
1130329,1130329,西府,1130322,1130322,谷保,2,11303,JR南武線
1130501,1130320,府中本町,1130502,1130502,北府中,2,11305,JR武蔵野線
1130502,1130502,北府中,1130503,1130503,西国分寺,3,11305,JR武蔵野線
1130503,1130503,西国分寺,1130504,1130504,新小平,4,11305,JR武蔵野線
1130504,1130504,新小平,1130505,1130505,新秋津,5,11305,JR武蔵野線
1130610,1130610,成瀬,1130611,1130611,町田,4,11306,JR横浜線
1130617,1130617,相原,1130618,1130618,八王子みなみ野,4,11306,JR横浜線
1130618,1130618,八王子みなみ野,1130619,1130619,片倉,2,11306,JR横浜線
1130619,1130619,片倉,1130620,1130620,八王子,3,11306,JR横浜線
1130801,1130101,東京,1130802,1130102,新橋,2,11308,JR横須賀線
1130802,1130102,新橋,1130803,1130103,品川,4,11308,JR横須賀線
1130803,1130103,品川,1130804,1130804,西大井,4,11308,JR横須賀線
1131101,1130101,東京,1131102,1131102,四ツ谷,9,11311,JR中央本線(東京～塩尻)
1131102,1131102,四ツ谷,1131103,1130208,新宿,6,11311,JR中央本線(東京～塩尻)
1131103,1130208,新宿,1131104,1131104,吉祥寺,15,11311,JR中央本線(東京～塩尻)
1131104,1131104,吉祥寺,1131105,1131105,三鷹,2,11311,JR中央本線(東京～塩尻)
1131105,1131105,三鷹,1131106,1131106,国分寺,6,11311,JR中央本線(東京～塩尻)
1131106,1131106,国分寺,1131107,1130325,立川,6,11311,JR中央本線(東京～塩尻)
1131107,1130325,立川,1131108,1131108,日野,3,11311,JR中央本線(東京～塩尻)
1131108,1131108,日野,1131109,1131109,豊田,3,11311,JR中央本線(東京～塩尻)
1131109,1131109,豊田,1131110,1130620,八王子,4,11311,JR中央本線(東京～塩尻)
1131110,1130620,八王子,1131111,1131111,西八王子,2,11311,JR中央本線(東京～塩尻)
1131111,1131111,西八王子,1131112,1131112,高尾,4,11311,JR中央本線(東京～塩尻)
1131201,1130101,東京,1131202,1130223,神田,2,11312,JR中央線(快速)
1131202,1130223,神田,1131203,1131203,御茶ノ水,2,11312,JR中央線(快速)
1131203,1131203,御茶ノ水,1131207,1131102,四ツ谷,5,11312,JR中央線(快速)
1131207,1131102,四ツ谷,1131211,1130208,新宿,6,11312,JR中央線(快速)
1131211,1130208,新宿,1131214,1131214,中野,5,11312,JR中央線(快速)
1131214,1131214,中野,1131215,1131215,高円寺,1,11312,JR中央線(快速)
1131215,1131215,高円寺,1131216,1131216,阿佐ケ谷,2,11312,JR中央線(快速)
1131216,1131216,阿佐ケ谷,1131217,1131217,荻窪,2,11312,JR中央線(快速)
1131217,1131217,荻窪,1131218,1131218,西荻窪,2,11312,JR中央線(快速)
1131218,1131218,西荻窪,1131219,1131104,吉祥寺,2,11312,JR中央線(快速)
1131219,1131104,吉祥寺,1131220,1131105,三鷹,2,11312,JR中央線(快速)
1131220,1131105,三鷹,1131221,1131221,武蔵境,2,11312,JR中央線(快速)
1131221,1131221,武蔵境,1131222,1131222,東小金井,3,11312,JR中央線(快速)
1131222,1131222,東小金井,1131223,1131223,武蔵小金井,2,11312,JR中央線(快速)
1131223,1131223,武蔵小金井,1131224,1131106,国分寺,3,11312,JR中央線(快速)
1131224,1131106,国分寺,1131225,1130503,西国分寺,2,11312,JR中央線(快速)
1131225,1130503,西国分寺,1131226,1131226,国立,2,11312,JR中央線(快速)
1131226,1131226,国立,1131227,1130325,立川,4,11312,JR中央線(快速)
1131227,1130325,立川,1131228,1131108,日野,3,11312,JR中央線(快速)
1131228,1131108,日野,1131229,1131109,豊田,3,11312,JR中央線(快速)
1131229,1131109,豊田,1131230,1130620,八王子,4,11312,JR中央線(快速)
1131230,1130620,八王子,1131231,1131111,西八王子,2,11312,JR中央線(快速)
1131231,1131111,西八王子,1131232,1131112,高尾,4,11312,JR中央線(快速)
1131301,1131105,三鷹,1131302,1131104,吉祥寺,2,11313,JR中央・総武緩行線
1131302,1131104,吉祥寺,1131303,1131218,西荻窪,2,11313,JR中央・総武緩行線
1131303,1131218,西荻窪,1131304,1131217,荻窪,3,11313,JR中央・総武緩行線
1131304,1131217,荻窪,1131305,1131216,阿佐ケ谷,2,11313,JR中央・総武緩行線
1131305,1131216,阿佐ケ谷,1131306,1131215,高円寺,2,11313,JR中央・総武緩行線
1131306,1131215,高円寺,1131307,1131214,中野,2,11313,JR中央・総武緩行線
1131307,1131214,中野,1131308,1131308,東中野,3,11313,JR中央・総武緩行線
1131308,1131308,東中野,1131309,1131309,大久保,2,11313,JR中央・総武緩行線
1131309,1131309,大久保,1131310,1130208,新宿,3,11313,JR中央・総武緩行線
1131310,1130208,新宿,1131311,1130207,代々木,1,11313,JR中央・総武緩行線
1131311,1130207,代々木,1131312,1131312,千駄ケ谷,2,11313,JR中央・総武緩行線
1131312,1131312,千駄ケ谷,1131313,1131313,信濃町,2,11313,JR中央・総武緩行線
1131313,1131313,信濃町,1131314,1131102,四ツ谷,2,11313,JR中央・総武緩行線
1131314,1131102,四ツ谷,1131315,1131315,市ケ谷,2,11313,JR中央・総武緩行線
1131315,1131315,市ケ谷,1131316,1131316,飯田橋,2,11313,JR中央・総武緩行線
1131316,1131316,飯田橋,1131317,1131317,水道橋,2,11313,JR中央・総武緩行線
1131317,1131317,水道橋,1131318,1131203,御茶ノ水,2,11313,JR中央・総武緩行線
1131318,1131203,御茶ノ水,1131319,1130222,秋葉原,2,11313,JR中央・総武緩行線
1131319,1130222,秋葉原,1131320,1131320,浅草橋,2,11313,JR中央・総武緩行線
1131320,1131320,浅草橋,1131321,1131321,両国,2,11313,JR中央・総武緩行線
1131321,1131321,両国,1131322,1131322,錦糸町,3,11313,JR中央・総武緩行線
1131322,1131322,錦糸町,1131323,1131323,亀戸,2,11313,JR中央・総武緩行線
1131323,1131323,亀戸,1131324,1131324,平井,3,11313,JR中央・総武緩行線
1131324,1131324,平井,1131325,1131325,新小岩,2,11313,JR中央・総武緩行線
1131325,1131325,新小岩,1131326,1131326,小岩,3,11313,JR中央・総武緩行線
1131401,1130101,東京,1131402,1131402,新日本橋,2,11314,JR総武本線
