fromID,fromGroupID,fromName,fromIdo,fromKeido,toID,toGroupID,toName,toIdo,toKeido,time,routeID,routeName,r,g,b
1130101,1130101,東京,139.766103,35.681391,1130102,1130102,新橋,139.758587,35.666195,2,11301,JR東海道本線(東京～熱海),232,144,61
1130102,1130102,新橋,139.758587,35.666195,1130103,1130103,品川,139.738999,35.62876,4,11301,JR東海道本線(東京～熱海),232,144,61
1130201,1130201,大崎,139.728439,35.619772,1130202,1130202,五反田,139.723822,35.625974,2,11302,JR山手線,165,204,79
1130202,1130202,五反田,139.723822,35.625974,1130203,1130203,目黒,139.715775,35.633923,2,11302,JR山手線,165,204,79
1130203,1130203,目黒,139.715775,35.633923,1130204,1130204,恵比寿,139.71007,35.646685,3,11302,JR山手線,165,204,79
1130204,1130204,恵比寿,139.71007,35.646685,1130205,1130205,渋谷,139.701238,35.658871,2,11302,JR山手線,165,204,79
1130205,1130205,渋谷,139.701238,35.658871,1130206,1130206,原宿,139.702592,35.670646,3,11302,JR山手線,165,204,79
1130206,1130206,原宿,139.702592,35.670646,1130207,1130207,代々木,139.702042,35.683061,3,11302,JR山手線,165,204,79
1130207,1130207,代々木,139.702042,35.683061,1130208,1130208,新宿,139.700464,35.689729,2,11302,JR山手線,165,204,79
1130208,1130208,新宿,139.700464,35.689729,1130209,1130209,新大久保,139.700261,35.700875,3,11302,JR山手線,165,204,79
1130209,1130209,新大久保,139.700261,35.700875,1130210,1130210,高田馬場,139.703715,35.712677,2,11302,JR山手線,165,204,79
1130210,1130210,高田馬場,139.703715,35.712677,1130211,1130211,目白,139.706228,35.720476,1,11302,JR山手線,165,204,79
1130211,1130211,目白,139.706228,35.720476,1130212,1130212,池袋,139.711086,35.730256,3,11302,JR山手線,165,204,79
1130212,1130212,池袋,139.711086,35.730256,1130213,1130213,大塚,139.728584,35.731412,3,11302,JR山手線,165,204,79
1130213,1130213,大塚,139.728584,35.731412,1130214,1130214,巣鴨,139.739303,35.733445,2,11302,JR山手線,165,204,79
1130214,1130214,巣鴨,139.739303,35.733445,1130215,1130215,駒込,139.748053,35.736825,2,11302,JR山手線,165,204,79
1130215,1130215,駒込,139.748053,35.736825,1130216,1130216,田端,139.761229,35.737781,2,11302,JR山手線,165,204,79
1130216,1130216,田端,139.761229,35.737781,1130217,1130217,西日暮里,139.766857,35.731954,1,11302,JR山手線,165,204,79
